Overall
  Valid: 638596, Invalid Length: 4103, Invalid ASN: 2514, Not Found: 585915, VRPS seen: 319456, VRPS unseen: 223370, VRPS too permissive: 49190

Per country:
AD: Valid: 47, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 47, VRPS unseen: 26, VRPS too permissive: 0
AE: Valid: 6196, Invalid Length: 0, Invalid ASN: 6, Not Found: 766, VRPS seen: 5910, VRPS unseen: 8918, VRPS too permissive: 52
AF: Valid: 371, Invalid Length: 0, Invalid ASN: 2, Not Found: 132, VRPS seen: 267, VRPS unseen: 107, VRPS too permissive: 9
AG: Valid: 97, Invalid Length: 0, Invalid ASN: 1, Not Found: 250, VRPS seen: 80, VRPS unseen: 8, VRPS too permissive: 12
AI: Valid: 5, Invalid Length: 0, Invalid ASN: 0, Not Found: 20, VRPS seen: 5, VRPS unseen: 5, VRPS too permissive: 0
AL: Valid: 750, Invalid Length: 1, Invalid ASN: 1, Not Found: 69, VRPS seen: 680, VRPS unseen: 342, VRPS too permissive: 22
AM: Valid: 610, Invalid Length: 0, Invalid ASN: 0, Not Found: 112, VRPS seen: 281, VRPS unseen: 59, VRPS too permissive: 73
AO: Valid: 227, Invalid Length: 0, Invalid ASN: 0, Not Found: 173, VRPS seen: 83, VRPS unseen: 33, VRPS too permissive: 22
AR: Valid: 12152, Invalid Length: 24, Invalid ASN: 19, Not Found: 3633, VRPS seen: 2062, VRPS unseen: 688, VRPS too permissive: 539
AS: Valid: 0, Invalid Length: 0, Invalid ASN: 0, Not Found: 18, VRPS seen: 0, VRPS unseen: 2, VRPS too permissive: 0
AT: Valid: 2396, Invalid Length: 1, Invalid ASN: 6, Not Found: 984, VRPS seen: 1426, VRPS unseen: 787, VRPS too permissive: 559
AU: Valid: 7339, Invalid Length: 107, Invalid ASN: 17, Not Found: 11811, VRPS seen: 4119, VRPS unseen: 2474, VRPS too permissive: 482
AW: Valid: 120, Invalid Length: 0, Invalid ASN: 0, Not Found: 11, VRPS seen: 119, VRPS unseen: 0, VRPS too permissive: 0
AX: Valid: 15, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 15, VRPS unseen: 1, VRPS too permissive: 0
